reporting_period,registrant_cik,registrant_name,series_name,series_id,series_category_name,class_name,class_id,investment_advisor,class_ticker_symbol,Subadvisor_name
31-Oct-17,949881,TD Asset Management USA Funds Inc.,TD Institutional U.S. Government Fund,S000015050,Exempt Government,Commercial Class,C000070571,TDAM USA INC,TGCXX,
31-Oct-17,1342947,BBH Trust,BBH U.S. Government Money Market Fund,S000015108,Exempt Government,Regular Shares,C000041210,Brown Brothers Harriman & Co.,BBMXX,
31-Oct-17,1342947,BBH Trust,BBH U.S. Government Money Market Fund,S000015108,Exempt Government,Institutional Shares,C000041211,Brown Brothers Harriman & Co.,BBSXX,
31-Oct-17,778206,SHELTON FUNDS,The United States Treasury Trust,S000016030,Treasury,Direct Shares,C000044045,CCM Partners,UTSXX,
31-Oct-17,778206,SHELTON FUNDS,The United States Treasury Trust,S000016030,Treasury,K Shares,C000044046,CCM Partners,UTKXX,
31-Oct-17,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,Western Asset Government Reserves,S000016623,Exempt Government,Class A,C000046408,Legg Mason Partners Fund Advisor LLC,SMGXX,Western Asset Management Company
31-Oct-17,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,Western Asset Government Reserves,S000016623,Exempt Government,Service Shares,C000091740,Legg Mason Partners Fund Advisor LLC,LGSXX,Western Asset Management Company
31-Oct-17,747576,LEGG MASON PARTNERS MONEY MARKET TRUST,Western Asset Government Reserves,S000016623,Exempt Government,Class A2,C000168701,Legg Mason Partners Fund Advisor LLC,,Western Asset Management Company
31-Oct-17,,,Western Asset Institutional Government Reserves,S000016858,Exempt Government,Institutional Shares,C000046975,,INGXX,Western Asset Management Company
31-Oct-17,,,Western Asset Institutional Government Reserves,S000016858,Exempt Government,Class L,C000046976,,LWPXX,Western Asset Management Company
31-Oct-17,,,Western Asset Institutional Government Reserves,S000016858,Exempt Government,Investor Shares,C000089734,,LGRXX,Western Asset Management Company
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Initial Class,C000048773,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,"FIDELITY INVESTMENTS MONEY MANAGEMENT, INC."
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Initial Class,C000048773,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (HONG KONG) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Initial Class,C000048773,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (JAPAN) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Initial Class,C000048773,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FMR INVESTMENT MANAGEMENT (U.K.) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Investor Class,C000048774,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,"FIDELITY INVESTMENTS MONEY MANAGEMENT, INC."
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Investor Class,C000048774,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (HONG KONG) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Investor Class,C000048774,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (JAPAN) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Investor Class,C000048774,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FMR INVESTMENT MANAGEMENT (U.K.) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class,C000048775,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,"FIDELITY INVESTMENTS MONEY MANAGEMENT, INC."
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class,C000048775,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (HONG KONG) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class,C000048775,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (JAPAN) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class,C000048775,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FMR INVESTMENT MANAGEMENT (U.K.) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class 2,C000048776,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,"FIDELITY INVESTMENTS MONEY MANAGEMENT, INC."
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class 2,C000048776,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (HONG KONG) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class 2,C000048776,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FIDELITY MANAGEMENT & RESEARCH (JAPAN) LIMITED
31-Oct-17,823535,Variable Insurance Products Fund V,Government Money Market Portfolio,S000017648,Exempt Government,Service Class 2,C000048776,FIDELITY MANAGEMENT & RESEARCH COMPANY (FMR),,FMR INVESTMENT MANAGEMENT (U.K.) LIMITED
31-Oct-17,1392417,"MFS INSTITUTIONAL MONEY MARKET PORTFOLIO, A SERIES OF THE MFS SERIES TRUST XIV",MFS Institutional Money Market Portfolio,S000017728,Prime,Class A,C000048969,MASSACHUSETTS FINANCIAL SERVICES COMPANY,,
31-Oct-17,1140869,MASTER PORTFOLIO TRUST,Liquid Reserves Portfolio,S000018041,Prime,Liquid Reserves Portfolio,C000049971,Legg Mason Partners Fund Advisor LLC,,Western Asset Management Company
31-Oct-17,1140869,MASTER PORTFOLIO TRUST,U.S. Treasury Reserves Portfolio,S000018042,Exempt Government/Treasury,U.S. Treasury Reserves Portfolio,C000049972,Legg Mason Partners Fund Advisor LLC,,Western Asset Management Company
31-Oct-17,1140869,MASTER PORTFOLIO TRUST,Tax Free Reserves Portfolio,S000018043,Other Tax Exempt,Tax Free Reserves Portfolio,C000049973,Legg Mason Partners Fund Advisor LLC,,Western Asset Management Company
31-Oct-17,,,UBS Tax-Free Reserves Fund,S000018675,Other Tax Exempt,UBS Tax-Free Reserves Fund,C000051798,,STFXX,
31-Oct-17,,,UBS Select Prime Preferred Fund,S000018676,Prime,UBS Select Prime Preferred Fund,C000051799,,SPPXX,
31-Oct-17,,,UBS Select Treasury Preferred Fund,S000018677,Exempt Government,UBS Select Treasury Preferred Fund,C000051800,,STPXX,
31-Oct-17,,,UBS Tax-Free Preferred Fund,S000018678,Other Tax Exempt,UBS Tax-Free Preferred Fund,C000051801,,SFPXX,
31-Oct-17,,,UBS Select Prime Investor Fund,S000018679,Prime,UBS Select Prime Investor Fund,C000051802,,SPIXX,
31-Oct-17,,,UBS Select Treasury Investor Fund,S000018680,Exempt Government,UBS Select Treasury Investor Fund,C000051803,,STRXX,
